                      radius                  box booles               hollow booles          hollow monte carlo              MC uncertainty
      0.1000000000000000E+01      0.1607237320203355E+01      0.1607207821156485E+01      0.1609541800269229E+01      0.3991346269267054E-02
      0.2000000000000000E+01      0.1607237320203355E+01      0.1607001315295778E+01      0.1602235347360166E+01      0.3930325067325209E-02
      0.3000000000000000E+01      0.1607237320203355E+01      0.1606440733122913E+01      0.1600905080890934E+01      0.3968159873301696E-02
      0.4000000000000000E+01      0.1607237320203355E+01      0.1605348879670679E+01      0.1602135816775851E+01      0.3964872463769052E-02
      0.5000000000000000E+01      0.1607237320203355E+01      0.1603548371518364E+01      0.1602151956946845E+01      0.4001716425186235E-02
      0.6000000000000000E+01      0.1607237320203355E+01      0.1600861573505949E+01      0.1598598095821408E+01      0.4015463683617509E-02
      0.7000000000000000E+01      0.1607237320203355E+01      0.1597110535045055E+01      0.1596392051160048E+01      0.4125142756737726E-02
      0.8000000000000000E+01      0.1607237320203355E+01      0.1592116925923149E+01      0.1593884584172130E+01      0.4246087252223883E-02
      0.9000000000000000E+01      0.1607237320203355E+01      0.1585701971495696E+01      0.1585615267857342E+01      0.4361318086424187E-02
      0.1000000000000000E+02      0.1607237320203355E+01      0.1577686387158765E+01      0.1570579112965533E+01      0.4431460993917786E-02
      0.1100000000000000E+02      0.1607237320203355E+01      0.1567890311991967E+01      0.1565619326361701E+01      0.4723019487187778E-02
      0.1200000000000000E+02      0.1607237320203355E+01      0.1556133241458639E+01      0.1552090439600140E+01      0.4767261793437783E-02
      0.1300000000000000E+02      0.1607237320203355E+01      0.1542233959046667E+01      0.1544549138567069E+01      0.5036278079750519E-02
      0.1400000000000000E+02      0.1607237320203355E+01      0.1526010466729497E+01      0.1523482755350975E+01      0.5243989210813358E-02
      0.1500000000000000E+02      0.1607237320203355E+01      0.1507279914122462E+01      0.1503576991488546E+01      0.5401663293599923E-02
      0.1600000000000000E+02      0.1607237320203355E+01      0.1485858526204646E+01      0.1489820335310424E+01      0.5655312076650084E-02
      0.1700000000000000E+02      0.1607237320203355E+01      0.1461561529471082E+01      0.1449018795087442E+01      0.6020340465785478E-02
      0.1800000000000000E+02      0.1607237320203355E+01      0.1434203076374049E+01      0.1431875983187685E+01      0.6251081328581850E-02
      0.1900000000000000E+02      0.1607237320203355E+01      0.1403596167905581E+01      0.1402711086599828E+01      0.6369651475820658E-02
