                         x_0                      booles                   large x_0                 monte carlo              MC uncertainty
      0.5000000000000000E+01      0.1067499990006680E+02      0.9921347101832437E+01      0.1054505053899810E+02      0.1643209314924138E+00
      0.1000000000000000E+02      0.8695153090424823E+01      0.8681178714103382E+01      0.8688198488868546E+01      0.9282225294436167E-01
      0.1500000000000000E+02      0.7279913072604136E+01      0.7563799275654432E+01      0.7260181362454634E+01      0.6131081971054101E-01
      0.2000000000000000E+02      0.6197892942153260E+01      0.6585721783112911E+01      0.6240077663317908E+01      0.4480725382367911E-01
      0.2500000000000000E+02      0.5341603639978565E+01      0.5743937795797726E+01      0.5366015298782757E+01      0.3303547856500380E-01
      0.3000000000000000E+02      0.4648649629347541E+01      0.5025945571323010E+01      0.4700972007491467E+01      0.2597666129830633E-01
      0.3500000000000000E+02      0.4078701905599453E+01      0.4415859692723108E+01      0.4064219047286893E+01      0.1964154735553178E-01
      0.4000000000000000E+02      0.3603950902555138E+01      0.3897672075719886E+01      0.3636404473834837E+01      0.1586694056091570E-01
      0.4500000000000000E+02      0.3204369051032860E+01      0.3456758944982342E+01      0.3180130671314870E+01      0.1259320135615965E-01
      0.5000000000000000E+02      0.2865075703182951E+01      0.3080418253391523E+01      0.2860192563853921E+01      0.1042075899052962E-01
      0.5500000000000000E+02      0.2574750649479161E+01      0.2757919591484107E+01      0.2587596852866654E+01      0.8773862845616751E-02
      0.6000000000000000E+02      0.2324621641535644E+01      0.2480336775458109E+01      0.2330089919020498E+01      0.7376796092303919E-02
      0.6500000000000000E+02      0.2107788667164478E+01      0.2240304184284744E+01      0.2106483774095688E+01      0.6261784435464286E-02
      0.7000000000000000E+02      0.1918756738475329E+01      0.2031765230960366E+01      0.1919524851707474E+01      0.5267794781777665E-02
      0.7500000000000000E+02      0.1753103519593380E+01      0.1849742680002658E+01      0.1744656470552605E+01      0.4502017575730008E-02
      0.8000000000000000E+02      0.1607237320203355E+01      0.1690140988586499E+01      0.1608291641642411E+01      0.3935727569182104E-02
      0.8500000000000000E+02      0.1478217473712581E+01      0.1549581596026567E+01      0.1485398911787973E+01      0.3465385443481469E-02
      0.9000000000000000E+02      0.1363618865406489E+01      0.1425268147091600E+01      0.1364932280138468E+01      0.3027204802086985E-02
      0.9500000000000000E+02      0.1261428364577806E+01      0.1314877326748877E+01      0.1262957536114753E+01      0.2640911722556688E-02
      0.1000000000000000E+03      0.1169964721490108E+01      0.1216470902613213E+01      0.1170869071528465E+01      0.2366181626309697E-02
      0.1050000000000000E+03      0.1087815983379056E+01      0.1128425002719494E+01      0.1087714980882466E+01      0.2089836083356160E-02
      0.1100000000000000E+03      0.1013790160094520E+01      0.1049373251155354E+01      0.1015656423099787E+01      0.1890058904737266E-02
      0.1150000000000000E+03      0.9468760232638493E+00      0.9781609818708037E+00      0.9466107573777598E+00      0.1684758976265593E-02
      0.1200000000000000E+03      0.8862117322868583E+00      0.9138082856950929E+00      0.8840943030694931E+00      0.1481553761670117E-02
      0.1250000000000000E+03      0.8310595585636451E+00      0.8554800972464699E+00      0.8311035081193310E+00      0.1365249480924867E-02
      0.1300000000000000E+03      0.7807853985481470E+00      0.8024618979423294E+00      0.7803412901483271E+00      0.1222330410576884E-02
      0.1350000000000000E+03      0.7348420742568151E+00      0.7541399080366216E+00      0.7325883068027002E+00      0.1113168597620622E-02
      0.1400000000000000E+03      0.6927556488780561E+00      0.7099848762463732E+00      0.6925460587842946E+00      0.1033752551093836E-02
      0.1450000000000000E+03      0.6541141571650391E+00      0.6695387614733547E+00      0.6552965200352985E+00      0.9378396448332074E-03
      0.1500000000000000E+03      0.6185582807264109E+00      0.6324037473850146E+00      0.6193794062662825E+00      0.8584405972746159E-03
      0.1550000000000000E+03      0.5857735980421918E+00      0.5982331455294422E+00      0.5869593146530541E+00      0.7866919534878678E-03
      0.1600000000000000E+03      0.5554841158368546E+00      0.5667238329681733E+00      0.5552457093546007E+00      0.7256417374159409E-03
      0.1650000000000000E+03      0.5274468480102584E+00      0.5376099414786050E+00      0.5271570712830135E+00      0.6689850111631334E-03
      0.1700000000000000E+03      0.5014472548222026E+00      0.5106575714178460E+00      0.5009506778564936E+00      0.6211198511521782E-03
      0.1750000000000000E+03      0.4772953915319910E+00      0.4856603476421473E+00      0.4770445127590132E+00      0.5708025422786346E-03
      0.1800000000000000E+03      0.4548226445152982E+00      0.4624356700006644E+00      0.4540087411356296E+00      0.5329926289266614E-03
      0.1850000000000000E+03      0.4338789557528449E+00      0.4408215388581059E+00      0.4337483105557910E+00      0.4962291356002773E-03
      0.1900000000000000E+03      0.4143304548258494E+00      0.4206738583926749E+00      0.4146599857654980E+00      0.4630563064750968E-03
      0.1950000000000000E+03      0.3960574321676757E+00      0.4018641382646490E+00      0.3958479902429066E+00      0.4333538310311664E-03
      0.2000000000000000E+03      0.3789525990822830E+00      0.3842775285921014E+00      0.3783405037394189E+00      0.4028606040564399E-03
